Year,Month,Day,Hour,Minute,Second,HYY_DMPS.tconc
2023,01,12,17,00,00,460.0187
2023,01,12,18,00,00,462.7449
2023,01,12,19,00,00,421.15667
2023,01,12,20,00,00,462.92301
2023,01,12,21,00,00,431.64148
2023,01,12,22,00,00,380.54708
2023,01,12,23,00,00,456.62042
2023,01,13,00,00,00,477.43131
2023,01,13,01,00,00,467.57948
2023,01,13,02,00,00,392.47646
2023,01,13,03,00,00,374.26998
2023,01,13,04,00,00,350.88022
2023,01,13,05,00,00,326.74158
2023,01,13,06,00,00,1159.59596
2023,01,13,07,00,00,1186.49078
2023,01,13,08,00,00,628.45772
2023,01,13,09,00,00,570.87054
2023,01,13,10,00,00,1072.27677
2023,01,13,11,00,00,778.55339
2023,01,13,12,00,00,599.55503
2023,01,13,13,00,00,804.34434
2023,01,13,14,00,00,715.01939
2023,01,13,15,00,00,638.8475
2023,01,13,16,00,00,700.3953
2023,01,13,17,00,00,724.58779
2023,01,13,18,00,00,583.56379
2023,01,13,19,00,00,657.6043
2023,01,13,20,00,00,483.94805
2023,01,13,21,00,00,455.80855
2023,01,13,22,00,00,570.39973
2023,01,13,23,00,00,536.15603
2023,01,14,00,00,00,428.03167
2023,01,14,01,00,00,349.38073
2023,01,14,02,00,00,420.40889
2023,01,14,03,00,00,384.454
2023,01,14,04,00,00,394.2551
2023,01,14,05,00,00,412.0114
2023,01,14,06,00,00,350.41406
2023,01,14,07,00,00,375.07863
2023,01,14,08,00,00,450.28309
2023,01,14,09,00,00,496.30145
2023,01,14,10,00,00,547.27837
2023,01,14,11,00,00,552.91014
2023,01,14,12,00,00,565.69692
2023,01,14,13,00,00,576.87947
2023,01,14,14,00,00,595.85952
2023,01,14,15,00,00,560.23784
2023,01,14,16,00,00,649.83767
2023,01,14,17,00,00,635.5557
2023,01,14,18,00,00,731.22165
2023,01,14,19,00,00,707.14078
2023,01,14,20,00,00,632.08895
2023,01,14,21,00,00,636.32099
2023,01,14,22,00,00,601.23594
2023,01,14,23,00,00,500.68044
2023,01,15,00,00,00,429.88295
2023,01,15,01,00,00,396.49369
2023,01,15,02,00,00,314.54722
2023,01,15,03,00,00,287.79284
2023,01,15,04,00,00,283.24755
2023,01,15,05,00,00,311.83598
2023,01,15,06,00,00,338.49586
2023,01,15,07,00,00,369.11908
2023,01,15,08,00,00,370.65875
2023,01,15,09,00,00,507.24163
2023,01,15,10,00,00,688.32331
2023,01,15,11,00,00,647.00768
2023,01,15,12,00,00,648.70654
2023,01,15,13,00,00,636.8693
2023,01,15,14,00,00,672.17393
2023,01,15,15,00,00,655.32788
2023,01,15,16,00,00,591.34567
2023,01,15,17,00,00,581.39653
2023,01,15,18,00,00,536.98162
2023,01,15,19,10,00,488.1243
2023,01,15,20,00,00,467.51077
2023,01,15,21,00,00,535.28123
2023,01,15,22,00,00,549.38574
2023,01,15,23,00,00,521.54939
2023,01,16,00,00,00,548.6701
2023,01,16,01,00,00,437.24567
2023,01,16,02,00,00,582.23976
2023,01,16,03,00,00,749.07904
2023,01,16,04,00,00,847.82015
2023,01,16,05,00,00,742.89036
2023,01,16,06,00,00,643.94372
2023,01,16,07,00,00,634.9057
2023,01,16,08,00,00,718.25133
2023,01,16,09,00,00,682.03297
2023,01,16,10,00,00,696.70149
2023,01,16,11,00,00,689.49326
2023,01,16,12,00,00,556.41751
2023,01,16,13,00,00,431.0859
2023,01,16,14,00,00,627.73429
2023,01,16,15,00,00,781.38643
2023,01,16,16,00,00,602.62149
2023,01,16,17,00,00,499.54204
2023,01,16,18,00,00,545.5935
2023,01,16,19,00,00,453.36509
2023,01,16,20,00,00,540.96162
2023,01,16,21,00,00,742.70563
2023,01,16,22,00,00,787.01255
2023,01,16,23,00,00,930.7828
2023,01,17,00,00,00,798.80657
2023,01,17,01,00,00,923.56275
2023,01,17,02,00,00,1162.55235
2023,01,17,03,00,00,1207.40381
2023,01,17,04,00,00,910.56605
2023,01,17,05,00,00,642.41194
2023,01,17,06,00,00,515.8881
2023,01,17,07,00,00,582.98248
2023,01,17,08,00,00,540.42234
2023,01,17,09,00,00,611.67489
2023,01,17,10,00,00,624.88547
2023,01,17,11,00,00,876.52058
2023,01,17,12,00,00,1306.11453
2023,01,17,13,00,00,1176.00994
2023,01,17,14,00,00,526.0935
2023,01,17,15,00,00,499.97239
2023,01,17,16,00,00,422.71708
2023,01,17,17,00,00,376.67895
2023,01,17,18,00,00,374.33088
2023,01,17,19,00,00,352.41933
2023,01,17,20,00,00,411.66779
2023,01,17,21,00,00,389.59657
2023,01,17,22,00,00,371.16763
2023,01,17,23,00,00,390.49948
2023,01,18,00,00,00,417.39441
2023,01,18,01,00,00,438.99512
