Year,Month,Day,Hour,Minute,Second,HYY_AERO.cn
2023,01,14,21,00,00,728.65576
2023,01,14,22,00,00,689.07758
2023,01,14,23,00,00,553.41803
2023,01,15,00,00,00,476.10409
2023,01,15,01,00,00,416.16969
2023,01,15,02,00,00,334.85151
2023,01,15,03,00,00,320.21985
2023,01,15,04,00,00,305.61167
2023,01,15,05,00,00,340.00954
2023,01,15,06,00,00,374.16864
2023,01,15,07,00,00,406.29908
2023,01,15,08,00,00,414.91969
2023,01,15,09,00,00,570.51863
2023,01,15,10,00,00,739.42303
2023,01,15,11,00,00,719.82409
2023,01,15,12,00,00,713.03197
2023,01,15,13,00,00,680.02001
2023,01,15,14,00,00,729.11698
2023,01,15,15,00,00,728.68151
2023,01,15,16,00,00,651.28273
2023,01,15,17,00,00,615.11894
2023,01,15,18,00,00,590.07349
2023,01,15,19,00,00,516.93378
2023,01,15,20,00,00,485.61576
2023,01,15,21,00,00,542.45758
2023,01,15,22,00,00,599.76212
2023,01,15,23,00,00,586.6006
2023,01,16,00,00,00,588.43909
2023,01,16,01,00,00,473.86288
2023,01,16,02,00,00,618.79546
2023,01,16,03,00,00,819.80455
2023,01,16,04,00,00,903.20106
2023,01,16,05,00,00,805.82076
2023,01,16,06,00,00,692.19318
2023,01,16,07,00,00,682.22985
2023,01,16,08,00,00,758.60333
2023,01,16,09,00,00,707.57302
2023,01,16,10,00,00,700.00698
2023,01,16,11,00,00,662.48606
2023,01,16,12,00,00,522.80879
2023,01,16,13,00,00,423.60698
2023,01,16,14,00,00,484.8353
2023,01,16,15,00,00,591.41636
2023,01,16,16,00,00,505.84288
2023,01,16,17,00,00,463.7947
2023,01,16,18,00,00,497.21182
2023,01,16,19,00,00,460.04606
2023,01,16,20,00,00,558.30409
2023,01,16,21,00,00,761.23879
2023,01,16,22,00,00,826.50803
2023,01,16,23,00,00,897.55105
2023,01,17,00,00,00,874.99106
2023,01,17,01,00,00,1007.17711
2023,01,17,02,00,00,1228.54799
2023,01,17,03,00,00,1280.69701
2023,01,17,04,00,00,958.62983
2023,01,17,05,00,00,670.76304
2023,01,17,06,00,00,518.71757
2023,01,17,07,00,00,581.66228
2023,01,17,08,00,00,572.60227
2023,01,17,09,00,00,625.52045
2023,01,17,10,00,00,625.03
2023,01,17,11,00,00,931.87756
2023,01,17,12,00,00,1471.30486
2023,01,17,13,00,00,1034.94804
2023,01,17,14,00,00,561.76833
2023,01,17,15,00,00,527.25015
2023,01,17,16,00,00,451.12864
2023,01,17,17,00,00,407.90333
2023,01,17,18,00,00,396.10697
2023,01,17,19,00,00,391.43075
2023,01,17,20,00,00,467.8256
2023,01,17,21,00,00,454.99485
2023,01,17,22,00,00,418.90515
2023,01,17,23,00,00,435.25909
2023,01,18,00,00,00,478.23061
2023,01,18,01,00,00,501.0559
2023,01,18,02,00,00,503.99591
2023,01,18,03,00,00,506.01757
2023,01,18,04,00,00,477.38334
2023,01,18,05,00,00,422.72925
2023,01,18,06,00,00,340.80364
2023,01,18,07,00,00,386.53151
2023,01,18,08,00,00,447.06122
2023,01,18,09,00,00,247.06531
2023,01,18,10,00,00,281.495
2023,01,18,11,00,00,475.1806
2023,01,18,12,00,00,491.36152
2023,01,18,13,00,00,561.19258
2023,01,18,14,00,00,903.8123
2023,01,18,15,00,00,889.74318
2023,01,18,16,00,00,823.66409
2023,01,18,17,00,00,870.755
2023,01,18,18,00,00,802.85818
2023,01,18,19,00,00,917.73013
2023,01,18,20,00,00,1065.46863
2023,01,18,21,00,00,986.23822
2023,01,18,22,00,00,1500.47291
2023,01,18,23,00,00,1251.36934
2023,01,19,00,00,00,771.48939
2023,01,19,01,00,00,653.73408
2023,01,19,02,00,00,613.81258
2023,01,19,03,00,00,606.41879
2023,01,19,04,00,00,554.7703
2023,01,19,05,00,00,515.85364
2023,01,19,06,00,00,593.91544
2023,01,19,07,00,00,515.83893
2023,01,19,08,00,00,496.02939
2023,01,19,09,00,00,481.69121
2023,01,19,10,00,00,502.1909
2023,01,19,11,00,00,492.00182
2023,01,19,12,00,00,564.41182
2023,01,19,13,00,00,607.10637
2023,01,19,14,00,00,516.48879
2023,01,19,15,00,00,509.77939
2023,01,19,16,00,00,601.47136
2023,01,19,17,00,00,619.1047
2023,01,19,18,00,00,659.07182
2023,01,19,19,00,00,930.11455
2023,01,19,20,00,00,1056.08231
2023,01,19,21,00,00,766.30363
2023,01,19,22,00,00,610.98061
2023,01,19,23,00,00,574.97909
2023,01,20,00,00,00,742.71378
2023,01,20,01,00,00,709.45622
2023,01,20,02,00,00,598.31697
2023,01,20,03,00,00,551.35409
2023,01,20,04,00,00,441.17242
