Year,Month,Day,Hour,Minute,Second,HYY_META.T42,HYY_META.T336
2023,01,13,21,00,00,0.17783,-0.14133
2023,01,13,22,00,00,0.68167,0.51833
2023,01,13,23,00,00,1.55183,1.37683
2023,01,14,00,00,00,2.16917,1.90733
2023,01,14,01,00,00,2.45917,2.18017
2023,01,14,02,00,00,2.47917,2.14817
2023,01,14,03,00,00,2.411,2.07067
2023,01,14,04,00,00,2.25917,1.92983
2023,01,14,05,00,00,2.26667,1.927
2023,01,14,06,00,00,2.28217,1.943
2023,01,14,07,00,00,2.3025,1.96183
2023,01,14,08,00,00,2.34167,2.01
2023,01,14,09,00,00,2.32817,1.991
2023,01,14,10,00,00,2.32933,1.99567
2023,01,14,11,00,00,2.39133,2.0665
2023,01,14,12,00,00,2.37267,2.03267
2023,01,14,13,00,00,2.3265,1.97
2023,01,14,14,00,00,2.28517,1.92967
2023,01,14,15,00,00,2.28467,1.93417
2023,01,14,16,00,00,2.2125,1.86883
2023,01,14,17,00,00,2.13283,1.77117
2023,01,14,18,00,00,1.88283,1.50967
2023,01,14,19,00,00,1.5935,1.21183
2023,01,14,20,00,00,1.4175,1.0645
2023,01,14,21,00,00,1.16417,0.82517
2023,01,14,22,00,00,1.30867,0.985
2023,01,14,23,00,00,1.4325,1.1465
2023,01,15,00,00,00,1.54367,1.22567
2023,01,15,01,00,00,1.51167,1.19133
2023,01,15,02,00,00,1.49983,1.158
2023,01,15,03,00,00,1.33883,0.9725
2023,01,15,04,00,00,1.38667,1.0135
2023,01,15,05,00,00,1.29617,0.98617
2023,01,15,06,00,00,1.138,0.77867
2023,01,15,07,00,00,1.21767,0.8555
2023,01,15,08,00,00,1.31833,0.93333
2023,01,15,09,00,00,NaN,NaN
2023,01,15,10,00,00,NaN,NaN
2023,01,15,11,00,00,NaN,NaN
2023,01,15,12,00,00,NaN,NaN
2023,01,15,13,00,00,NaN,NaN
2023,01,15,14,00,00,NaN,NaN
2023,01,15,15,00,00,NaN,NaN
2023,01,15,16,00,00,NaN,NaN
2023,01,15,17,00,00,NaN,NaN
2023,01,15,18,00,00,NaN,NaN
2023,01,15,19,00,00,NaN,NaN
